0, 2012 AUG 06 06:23:34,  3.3913750484277339e+03,  1.3744165405905019e+02, -4.5894997863688562e+00
1, 2012 AUG 07 07:05:06,  3.3913757964587139e+03,  1.3744165405915899e+02, -4.5894997862754003e+00
2, 2012 AUG 08 07:46:37,  3.3913765310251524e+03,  1.3744165405898576e+02, -4.5894997862440894e+00
3, 2012 AUG 09 08:28:09,  3.3913772523157700e+03,  1.3744165405875640e+02, -4.5894997863234721e+00
4, 2012 AUG 10 09:09:41,  3.3913779605204222e+03,  1.3744165405872667e+02, -4.5894997863501423e+00
5, 2012 AUG 11 09:51:12,  3.3913786557725630e+03,  1.3744165405872374e+02, -4.5894997863641684e+00
6, 2012 AUG 12 10:32:44,  3.3913793382721892e+03,  1.3744165405874301e+02, -4.5894997862494167e+00
7, 2012 AUG 13 11:14:16,  3.3913800081718782e+03,  1.3744165405891789e+02, -4.5894997863758533e+00
8, 2012 AUG 14 11:55:48,  3.3913806655932804e+03,  1.3744165405922652e+02, -4.5894997863249536e+00
9, 2012 AUG 15 12:37:19,  3.3913813107597398e+03,  1.3744165405917965e+02, -4.5894997862472096e+00
10, 2012 AUG 16 13:18:51,  3.3913819438170672e+03,  1.3744165405970386e+02, -4.5894997860925786e+00
11, 2012 AUG 17 14:00:23,  3.3913825649536138e+03,  1.3744165405908919e+02, -4.5894997860737945e+00
12, 2012 AUG 18 14:41:54,  3.3913831743101346e+03,  1.3744165405967158e+02, -4.5894997859576145e+00
13, 2012 AUG 19 15:23:26,  3.3913837719904550e+03,  1.3744165406008173e+02, -4.5894997860582176e+00
14, 2012 AUG 20 16:04:58,  3.3913843582446689e+03,  1.3744165405916988e+02, -4.5894997861939011e+00
15, 2012 AUG 21 16:46:29,  3.3913849331467159e+03,  1.3744165405973337e+02, -4.5894997860200721e+00
16, 2012 AUG 22 17:28:01,  3.3913851000381524e+03,  1.3744175647306551e+02, -4.5894997290914574e+00
17, 2012 AUG 23 18:09:33,  3.3913856528308665e+03,  1.3744175647225447e+02, -4.5894997290470085e+00
18, 2012 AUG 24 18:51:04,  3.3913861947030036e+03,  1.3744175647272255e+02, -4.5894997292106590e+00
19, 2012 AUG 25 19:32:36,  3.3913867259014141e+03,  1.3744175647158517e+02, -4.5894997295061435e+00
20, 2012 AUG 26 20:14:08,  3.3913872465117806e+03,  1.3744175647208010e+02, -4.5894997294304209e+00
21, 2012 AUG 27 20:55:39,  3.3913878328843016e+03,  1.3744169823154459e+02, -4.5894407135485569e+00
22, 2012 AUG 28 21:37:11,  3.3913875706021981e+03,  1.3744190298931457e+02, -4.5894479838430504e+00
23, 2012 AUG 29 22:18:43,  3.3913880603401085e+03,  1.3744190298870757e+02, -4.5894479838521827e+00
24, 2012 AUG 30 23:00:15,  3.3913883531305628e+03,  1.3744219451496463e+02, -4.5895075548941202e+00
25, 2012 AUG 31 23:41:46,  3.3913888229563918e+03,  1.3744219451440608e+02, -4.5895075552042872e+00
26, 2012 SEP 02 00:23:18,  3.3913888542855352e+03,  1.3744249392159290e+02, -4.5898235669507512e+00
27, 2012 SEP 03 01:04:50,  3.3913893046525163e+03,  1.3744249392131908e+02, -4.5898235670714165e+00
28, 2012 SEP 04 01:46:21,  3.3913897454958055e+03,  1.3744249392123822e+02, -4.5898235667032043e+00
29, 2012 SEP 05 02:27:53,  3.3913901019054510e+03,  1.3744279305875617e+02, -4.5902407384980917e+00
30, 2012 SEP 06 03:09:25,  3.3913905240224803e+03,  1.3744279305771798e+02, -4.5902407388849120e+00
