0, 2012 AUG 06 06:29:25, -7.8700067377440275e-04,  5.4982488344320908e-04,  5.8474548506873769e-04
1, 2012 AUG 07 07:10:56, -7.9895192764694906e-04,  5.3405897409674154e-04,  5.8316619130746844e-04
2, 2012 AUG 08 07:52:27, -8.0926386972085161e-04,  5.1650474740661987e-04,  5.8473122959357669e-04
3, 2012 AUG 09 08:33:59, -8.2058923182923196e-04,  5.0050039732829350e-04,  5.8289859336298861e-04
4, 2012 AUG 10 09:15:30, -8.3166126304528274e-04,  4.8428741601612223e-04,  5.8085732556052922e-04
5, 2012 AUG 11 09:57:01, -8.4249486042367995e-04,  4.6801482404814628e-04,  5.7860742504704365e-04
6, 2012 AUG 12 10:38:32, -8.5310492915141763e-04,  4.5156340469099023e-04,  5.7614889258242894e-04
7, 2012 AUG 13 11:20:03, -8.6344676327283136e-04,  4.3496296298392351e-04,  5.7348172813898946e-04
8, 2012 AUG 14 12:01:35, -8.7352036039257280e-04,  4.1827310718458937e-04,  5.7062083340831261e-04
9, 2012 AUG 15 12:43:06, -8.8335552453362232e-04,  4.0146403270325512e-04,  5.6756620843311986e-04
10, 2012 AUG 16 13:24:37, -8.9293735647031855e-04,  3.8453574096656006e-04,  5.6427314727841788e-04
11, 2012 AUG 17 14:06:08, -9.0223604889719917e-04,  3.6748823094760388e-04,  5.6081616012818199e-04
12, 2012 AUG 18 14:47:39, -9.1129630854508566e-04,  3.5038111198199126e-04,  5.5713563854943202e-04
13, 2012 AUG 19 15:29:10, -9.2005852795973102e-04,  3.3315477567459612e-04,  5.5327628911112123e-04
14, 2012 AUG 20 16:10:42, -9.2931256791363350e-04,  3.1646493646326574e-04,  5.4759888334012668e-04
15, 2012 AUG 21 16:52:13, -9.3850703174996419e-04,  3.0072885279852293e-04,  5.4072930803893745e-04
16, 2012 AUG 22 17:33:44, -3.6652665847586607e-03, -4.8677064434364007e-03, -5.1071311055725182e-04
17, 2012 AUG 23 18:15:15, -3.5926774105055903e-03, -4.9144312808759808e-03, -5.7514530728052253e-04
18, 2012 AUG 24 18:56:46, -3.5189707374348408e-03, -4.9595764875409879e-03, -6.3939860856050354e-04
19, 2012 AUG 25 19:38:18, -3.4441912652378244e-03, -5.0032016721347989e-03, -7.0347301554350781e-04
20, 2012 AUG 26 20:19:49, -3.3683389974014820e-03, -5.0452770328997393e-03, -7.6735362665470504e-04
21, 2012 AUG 27 21:01:20, -5.0105016912970922e-04, -3.4216119136528038e-03,  2.8081568452936871e-03
22, 2012 AUG 28 21:42:51, -5.2094496452915933e-03, -1.4237340542439678e-02, -3.9184461255542964e-04
23, 2012 AUG 29 22:24:22, -5.0056081979319841e-03, -1.4305421789390146e-02, -5.4055448152888323e-04
24, 2012 AUG 30 23:05:54, -1.2966242805724910e-02, -2.8227514866473746e-02, -7.7317203582803933e-03
25, 2012 AUG 31 23:47:25, -1.2512436957965349e-02, -2.8344424557371999e-02, -8.0452456873298037e-03
26, 2012 SEP 02 00:28:56, -2.5360387783560520e-02, -3.7055222777972151e-02, -2.8498286924864551e-02
27, 2012 SEP 03 01:10:27, -2.4633260971775851e-02, -3.7180521045845301e-02, -2.8968964620762816e-02
28, 2012 SEP 04 01:51:58, -2.3901128286625162e-02, -3.7291841445215294e-02, -2.9435365059446560e-02
29, 2012 SEP 05 02:33:30, -3.8309012010842802e-02, -4.3473594288807572e-02, -5.5553207584139841e-02
30, 2012 SEP 06 03:15:01, -3.7298342625528870e-02, -4.3563527463125182e-02, -5.6167981758276093e-02
31, 2012 SEP 07 03:56:32, -3.6281594766121077e-02, -4.3636472509450325e-02, -5.6774052726442287e-02
32, 2012 SEP 08 04:38:03, -3.5259617807962537e-02, -4.3690343278688960e-02, -5.7373298117957404e-02
33, 2012 SEP 09 05:19:34, -3.4232761945227563e-02, -4.3725139797552819e-02, -5.7965583826016395e-02
34, 2012 SEP 10 06:01:06, -3.3201332675069528e-02, -4.3740862091127222e-02, -5.8550671432522260e-02
35, 2012 SEP 11 06:42:37, -3.2165650390704917e-02, -4.3737480382389379e-02, -5.9128426830007033e-02
36, 2012 SEP 12 07:24:08, -3.1126050386114663e-02, -4.3715054303543152e-02, -5.9698656305764507e-02
37, 2012 SEP 13 08:05:39, -3.0081906974234095e-02, -4.3673613648131333e-02, -6.0258886195387114e-02
38, 2012 SEP 14 08:47:10, -3.6050701052719347e-02, -7.0254796908944955e-02, -7.7442472833839482e-02
39, 2012 SEP 15 09:28:41, -4.0692698067097827e-02, -8.6299360209754469e-02, -9.0579032946419710e-02
40, 2012 SEP 16 10:10:13, -3.7872563251793889e-02, -1.2316180674691966e-01, -8.8789244133553241e-02
41, 2012 SEP 17 10:51:44, -3.4299601382884293e-02, -1.4983662912057419e-01, -8.9817766838502802e-02
42, 2012 SEP 18 11:33:15, -3.7870801053448672e-02, -1.6991879525778072e-01, -1.1329293084198921e-01
43, 2012 SEP 19 12:14:46, -4.5544455180387813e-02, -1.7203044600602180e-01, -1.4262941382089619e-01
44, 2012 SEP 20 12:56:17, -4.2104669988083272e-02, -1.7152286804575773e-01, -1.4429643912234066e-01
45, 2012 SEP 21 13:37:49, -3.7753984846406075e-02, -1.7380486039830356e-01, -1.4487569135816081e-01
46, 2012 SEP 22 14:19:20, -3.4275811050782645e-02, -1.7316623791809016e-01, -1.4650299979966686e-01
