target "MSL_ROVER", observer "MSL_LANDING_SITE", frame "IAU_MARS"
t (sol), t (UTC), x (km), y (km), z (km)
47, 2012 SEP 23 15:00:51, -1.4182718996103807e-01, -1.6941067291122264e-01, -6.1726837242058283e-02
48, 2012 SEP 24 15:42:22, -1.6643793815422253e-01, -1.9828753511589164e-01, -5.3405523602892649e-02
49, 2012 SEP 25 16:23:53, -1.8587375910037940e-01, -2.2214358989141236e-01, -5.3830047134439313e-02
50, 2012 SEP 26 17:05:25, -2.1610479083408926e-01, -2.5954281675492369e-01, -4.6377020467256183e-02
51, 2012 SEP 27 17:46:56, -2.1610569528192278e-01, -2.5954408409742830e-01, -4.6377839898542578e-02
52, 2012 SEP 28 18:28:27, -2.3983193204911907e-01, -2.8566082914728408e-01, -3.9292047767380600e-02
53, 2012 SEP 29 19:09:58, -2.4119230977238498e-01, -2.8710104138685988e-01, -3.8869462046163483e-02
54, 2012 SEP 30 19:51:29, -2.4119609950034196e-01, -2.8710550994563666e-01, -3.8870710550373139e-02
55, 2012 OCT 01 20:33:01, -2.5379186340088500e-01, -3.0311683777306409e-01, -3.9128732996557558e-02
56, 2012 OCT 02 21:14:32, -2.5583889447591390e-01, -3.0532126713329871e-01, -3.6436911307315578e-02
57, 2012 OCT 03 21:56:03, -2.5542977187494403e-01, -3.0487606365758968e-01, -3.6661169564353224e-02
58, 2012 OCT 04 22:37:34, -2.5542932663602352e-01, -3.0487571142150471e-01, -3.6662017371596523e-02
59, 2012 OCT 05 23:19:05, -2.5567442139096813e-01, -3.0486198446214174e-01, -3.5381386623359129e-02
